Name,PA,BB%,K%,AVG,OBP,SLG,OPS,BABIP,wRC+,WAR/PA
A.J. Ellis,430.000,14.000,14.200,0.269,0.382,0.409,0.791,0.301,123.000,1.000
A.J. Pollock,608.000,7.200,14.100,0.307,0.357,0.444,0.801,0.346,115.000,1.000
A.J. Simcox,474.000,5.700,15.200,0.250,0.293,0.378,0.671,0.281,81.000,0.000
Aaron Altherr,492.000,5.300,22.400,0.236,0.287,0.399,0.686,0.279,87.000,1.000
Aaron Bates,530.000,9.400,21.500,0.276,0.366,0.420,0.786,0.341,115.000,0.000
Aaron Cunningham,401.000,9.500,22.900,0.317,0.386,0.507,0.894,0.394,135.000,0.000
Aaron Hicks,563.000,14.000,20.600,0.286,0.384,0.460,0.844,0.348,134.000,1.000
Aaron Luna,409.000,15.400,17.800,0.270,0.426,0.470,0.897,0.306,154.000,0.000
Aaron Mathews,507.000,5.300,15.600,0.293,0.334,0.433,0.767,0.335,107.000,0.000
Aaron Peel,548.000,5.100,19.200,0.285,0.344,0.473,0.816,0.332,113.000,0.000
Aaron Westlake,458.000,7.000,26.200,0.236,0.293,0.396,0.689,0.292,88.000,0.000
Adalberto Santos,482.000,12.200,14.500,0.281,0.375,0.386,0.762,0.323,117.000,0.000
Adam Abraham,434.000,10.100,18.400,0.259,0.343,0.441,0.783,0.294,117.000,0.000
Adam Boeve,389.000,12.900,25.700,0.270,0.372,0.479,0.851,0.335,132.000,0.000
Adam Brett Walker,560.000,9.100,34.800,0.239,0.309,0.498,0.807,0.317,125.000,0.000
Adam Buschini,403.000,10.400,18.400,0.215,0.297,0.332,0.629,0.246,82.000,0.000
Adam Calderone,404.000,6.400,18.100,0.242,0.301,0.427,0.728,0.270,100.000,0.000
Adam Duvall,430.000,8.100,16.700,0.252,0.320,0.465,0.785,0.268,114.000,1.000
Adam Frazier,423.000,8.000,9.900,0.324,0.384,0.416,0.801,0.360,135.000,1.000
Adam Godwin,479.000,10.600,14.000,0.264,0.347,0.333,0.680,0.309,88.000,0.000
Adam Greenberg,492.053,14.113,21.453,0.245,0.367,0.368,0.735,0.321,107.868,0.000
Adam Heether,491.000,10.400,18.100,0.299,0.371,0.447,0.818,0.355,126.000,0.000
Adam Loewen,537.000,12.300,26.400,0.246,0.351,0.412,0.763,0.327,112.000,0.000
Adam Melker,398.000,9.000,18.800,0.278,0.346,0.409,0.755,0.326,111.000,0.000
Adam Moore,490.000,8.200,15.700,0.319,0.396,0.506,0.902,0.362,144.000,0.000
Adam Morrissey,599.000,15.400,21.900,0.263,0.396,0.383,0.778,0.343,119.000,0.000
Adam Witter,471.000,13.600,21.700,0.238,0.345,0.443,0.787,0.267,111.000,0.000
Addison Maruszak,434.443,9.897,16.953,0.261,0.338,0.421,0.758,0.293,109.875,0.000
Adeiny Hechavarria,502.000,5.000,15.500,0.235,0.275,0.347,0.622,0.267,67.000,0.000
Aderlin Rodriguez,478.225,6.802,19.428,0.260,0.314,0.444,0.758,0.289,108.445,0.000
Adrian Marin,457.370,5.986,18.809,0.249,0.296,0.328,0.624,0.305,71.713,0.000
Agustin Murillo,420.000,8.600,13.800,0.235,0.322,0.326,0.648,0.258,92.000,0.000
Albert Almora,452.000,7.100,10.400,0.272,0.327,0.400,0.727,0.291,105.000,0.000
Albert Cartwright,517.305,5.735,21.523,0.249,0.305,0.334,0.638,0.313,77.944,0.000
Alberth Martinez,485.807,7.181,17.387,0.260,0.321,0.393,0.713,0.298,98.946,0.000
Alberto Gonzalez,494.000,7.500,8.500,0.290,0.356,0.392,0.747,0.309,116.000,0.000
Alcides Escobar,597.000,5.200,13.700,0.328,0.363,0.434,0.797,0.369,114.000,1.000
Alden Carrithers,423.000,12.100,7.800,0.276,0.365,0.351,0.715,0.299,97.000,0.000
Aledmys Diaz,409.000,7.100,15.200,0.264,0.324,0.421,0.745,0.294,108.000,1.000
Alen Hanson,527.000,5.900,16.700,0.280,0.326,0.442,0.768,0.321,111.000,0.000
Alex Avila,387.000,13.400,19.900,0.264,0.365,0.450,0.814,0.310,127.000,1.000
Alex Blandino,465.000,11.800,24.500,0.232,0.333,0.337,0.670,0.302,100.000,0.000
Alex Castellanos,534.000,7.300,22.100,0.320,0.386,0.573,0.958,0.381,152.000,0.000
Alex Dickerson,491.000,5.500,18.100,0.288,0.337,0.494,0.832,0.325,126.000,1.000
Alex Gordon,577.000,12.500,19.600,0.325,0.427,0.588,1.016,0.373,167.000,1.000
Alex Hassan,545.000,13.900,14.500,0.291,0.404,0.456,0.860,0.326,141.000,0.000
Alex Liddi,540.705,6.942,25.319,0.284,0.339,0.475,0.814,0.365,122.142,0.000
Alex Romero,404.000,8.200,9.400,0.303,0.377,0.439,0.816,0.321,122.000,0.000
Alex Valdez,574.000,6.800,21.400,0.262,0.318,0.422,0.740,0.318,101.000,0.000
Alex Verdugo,529.000,8.300,12.700,0.273,0.336,0.407,0.743,0.292,113.000,0.000
